slr_select	z_init	c_flood	c_flood_nourishment	nourishment_frequency	rho_deposit	s_subsidence	fd	crit_year	growth_total	end_dist	slope_norm	slope_norm_10	est_time	est_crit_year	class	Policy Combined
mean	0.7	0.1	0.5	10	400	0.005	0.4	2101	0.369	0.262	-0.009	-0.033	15.317	2116.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.1	0.5	10	400	0.005	0.4	2093	0.265	0.013	-0.02	-0.04	8.721	2093.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.5	10	800	0.005	0.4	2101	0.207	0.417	-0.005	-0.015	48.545	2150.0	3.0	Nourishment (10 years) | Conservation
mean	0.7	0.1	0.5	10	800	0.005	0.4	2099	0.08	0.014	-0.016	-0.021	11.741	2099.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.1	0.5	10	800	0.005	0.4	2075	-0.076	0.004	-0.028	-0.024	13.934	2075.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.5	10	1200	0.003	0.4	2101	0.118	0.329	-0.007	-0.014	40.164	2141.0	3.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.5	1	800	0.003	0.6	2101	0.716	0.927	0.001	-0.01	162.846	2264.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.1	0.5	1	800	0.003	0.6	2101	0.661	0.554	-0.008	-0.025	43.794	2145.0	3.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.1	0.5	1	1200	0.003	0.6	2101	0.584	0.477	-0.007	-0.025	38.257	2139.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.1	0.5	1	1200	0.003	0.6	2101	0.511	0.032	-0.022	-0.051	1.509	2103.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.1	0.5	1	1200	0.005	0.6	2101	0.614	0.825	0.002	-0.01	147.115	2248.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.1	0.5	1	1200	0.005	0.6	2101	0.554	0.447	-0.008	-0.025	35.668	2137.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.1	0.5	1	1200	0.005	0.6	2101	0.483	0.004	-0.023	-0.052	0.197	2101.0	2.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.1	0.5	5	800	0.003	0.6	2093	0.307	0.028	-0.02	-0.039	9.734	2093.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.1	0.5	5	800	0.005	0.6	2101	0.455	0.665	0.001	-0.01	109.47	2210.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.1	0.5	5	800	0.005	0.6	2101	0.368	0.261	-0.009	-0.027	19.013	2120.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.1	0.5	5	800	0.005	0.6	2092	0.264	0.019	-0.021	-0.042	8.456	2092.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.1	0.5	5	1200	0.003	0.6	2101	0.376	0.587	0.0	-0.009	110.665	2212.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.1	0.5	5	1200	0.003	0.6	2101	0.267	0.159	-0.011	-0.027	12.023	2113.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.1	0.5	5	1200	0.003	0.6	2083	0.133	0.018	-0.022	-0.024	16.718	2083.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.1	0.5	5	1200	0.005	0.6	2101	0.317	0.527	-0.002	-0.01	90.053	2191.0	4.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.1	0.5	10	400	0.005	0.6	2101	0.56	0.771	0.002	-0.014	84.954	2186.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.5	10	400	0.005	0.6	2101	0.488	0.38	-0.007	-0.032	21.916	2123.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.1	0.5	10	400	0.005	0.6	2098	0.404	0.022	-0.019	-0.033	12.549	2098.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.1	0.5	10	800	0.003	0.6	2101	0.419	0.63	0.001	-0.013	82.824	2184.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.5	10	800	0.003	0.6	2101	0.316	0.209	-0.01	-0.032	12.932	2114.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.1	0.5	10	800	0.003	0.6	2087	0.192	0.009	-0.021	-0.023	15.831	2087.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.1	0.5	10	800	0.005	0.6	2101	0.364	0.574	-0.001	-0.014	67.484	2168.0	3.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.5	10	800	0.005	0.6	2101	0.262	0.155	-0.011	-0.033	9.116	2110.0	2.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.3	5	1200	0.003	0.4	2094	0.003	0.001	-0.019	-0.023	9.271	2094.0	1.0	Nourishment (5 years) | Conservation
high	0.7	0.1	0.3	10	800	0.003	0.4	2075	-0.063	0.007	-0.029	-0.026	13.06	2075.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.3	10	800	0.005	0.4	2101	0.161	0.372	-0.006	-0.013	49.012	2150.0	3.0	Nourishment (10 years) | Conservation
mean	0.7	0.1	0.3	10	800	0.005	0.4	2096	0.027	0.002	-0.018	-0.02	11.359	2096.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.3	1	800	0.003	0.6	2101	0.655	0.866	0.002	-0.009	160.92	2262.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.1	0.3	1	800	0.003	0.6	2101	0.588	0.48	-0.007	-0.024	38.444	2139.0	3.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.1	0.3	1	1200	0.005	0.6	2101	0.456	0.349	-0.008	-0.025	28.439	2129.0	2.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.1	0.3	1	1200	0.005	0.6	2096	0.369	0.0	-0.022	-0.044	9.09	2096.0	1.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.1	0.3	5	400	0.003	0.6	2101	0.618	0.829	0.002	-0.009	140.383	2241.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.1	0.3	5	400	0.003	0.6	2101	0.548	0.441	-0.007	-0.024	33.108	2134.0	3.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.1	0.3	5	400	0.003	0.6	2100	0.466	0.021	-0.02	-0.031	14.518	2100.0	1.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.2	0.0	1	400	0.005	0.4	2098	0.414	0.016	-0.021	-0.035	11.269	2098.0	1.0	No nourishment | Conservation
low	0.7	0.2	0.0	1	800	0.003	0.4	2101	0.419	0.63	-0.001	-0.007	141.558	2243.0	4.0	No nourishment | Conservation
mean	0.7	0.2	0.0	1	800	0.003	0.4	2101	0.318	0.21	-0.011	-0.023	17.615	2119.0	2.0	No nourishment | Conservation
high	0.7	0.2	0.0	1	800	0.003	0.4	2086	0.194	0.006	-0.023	-0.03	13.099	2086.0	1.0	No nourishment | Conservation
high	0.7	0.1	0.3	5	800	0.005	0.6	2085	0.181	0.007	-0.022	-0.034	12.483	2085.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.1	0.3	5	1200	0.003	0.6	2101	0.307	0.518	-0.002	-0.009	101.722	2203.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.1	0.3	5	1200	0.003	0.6	2101	0.186	0.079	-0.014	-0.026	5.994	2107.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.1	0.3	5	1200	0.003	0.6	2078	0.037	0.026	-0.025	-0.028	14.463	2078.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.1	0.3	5	1200	0.005	0.6	2101	0.241	0.452	-0.004	-0.01	79.637	2181.0	4.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.2	0.0	1	800	0.005	0.4	2083	0.141	0.007	-0.024	-0.029	13.696	2083.0	1.0	No nourishment | Conservation
low	0.7	0.2	0.0	1	1200	0.003	0.4	2101	0.276	0.487	-0.004	-0.008	107.742	2209.0	4.0	No nourishment | Conservation
mean	0.7	0.2	0.0	1	1200	0.003	0.4	2101	0.149	0.042	-0.016	-0.025	3.366	2104.0	2.0	No nourishment | Conservation
high	0.7	0.2	0.0	1	1200	0.003	0.4	2077	-0.007	0.002	-0.028	-0.031	11.328	2077.0	1.0	No nourishment | Conservation
high	0.7	0.2	0.0	1	400	0.005	0.6	2101	0.522	0.043	-0.02	-0.04	2.038	2103.0	2.0	No Nourishment | Marsh Restoration
low	0.7	0.2	0.0	1	800	0.003	0.6	2101	0.536	0.747	0.001	-0.008	153.882	2255.0	4.0	No Nourishment | Marsh Restoration
low	0.7	0.1	0.3	10	800	0.003	0.6	2101	0.384	0.594	-0.001	-0.011	91.392	2192.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.3	10	800	0.003	0.6	2101	0.275	0.168	-0.011	-0.029	11.357	2112.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.1	0.3	10	800	0.003	0.6	2084	0.143	0.015	-0.022	-0.025	16.052	2084.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.1	0.3	10	800	0.005	0.6	2101	0.325	0.535	-0.002	-0.012	74.008	2175.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.3	10	800	0.005	0.6	2101	0.217	0.11	-0.013	-0.03	7.124	2108.0	2.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.0	1	800	0.003	0.6	2101	0.454	0.346	-0.008	-0.022	28.604	2130.0	3.0	No Nourishment | Marsh Restoration
high	0.7	0.2	0.0	1	800	0.003	0.6	2095	0.356	0.012	-0.021	-0.04	8.955	2095.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.2	0.0	1	800	0.005	0.6	2101	0.492	0.703	0.0	-0.008	136.837	2238.0	4.0	No Nourishment | Marsh Restoration
mean	0.7	0.2	0.0	1	800	0.005	0.6	2101	0.412	0.304	-0.01	-0.023	24.775	2126.0	2.0	No Nourishment | Marsh Restoration
high	0.7	0.2	0.0	1	800	0.005	0.6	2093	0.317	0.015	-0.021	-0.04	8.701	2093.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.2	0.0	1	1200	0.003	0.6	2101	0.419	0.63	-0.001	-0.007	141.558	2243.0	4.0	No Nourishment | Marsh Restoration
low	0.7	0.2	0.3	1	800	0.003	0.4	2101	0.624	0.835	0.002	-0.009	158.592	2260.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.2	0.3	1	800	0.003	0.4	2101	0.556	0.449	-0.007	-0.024	36.29	2137.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.2	0.3	1	800	0.003	0.4	2100	0.477	0.026	-0.021	-0.033	15.085	2100.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.2	0.0	1	400	0.005	0.4	2101	0.564	0.775	0.0	-0.008	142.68	2244.0	4.0	No nourishment | Conservation
mean	0.7	0.2	0.0	1	400	0.005	0.4	2101	0.494	0.387	-0.009	-0.022	30.959	2132.0	3.0	No nourishment | Conservation
low	0.7	0.2	0.0	1	800	0.005	0.4	2101	0.365	0.575	-0.002	-0.008	120.886	2222.0	4.0	No nourishment | Conservation
mean	0.7	0.2	0.0	1	800	0.005	0.4	2101	0.264	0.157	-0.013	-0.023	12.872	2114.0	2.0	No nourishment | Conservation
low	0.7	0.2	0.3	1	800	0.005	0.4	2101	0.588	0.799	0.001	-0.009	144.498	2245.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.2	0.3	1	800	0.005	0.4	2101	0.522	0.415	-0.008	-0.024	33.256	2134.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.2	0.3	1	800	0.005	0.4	2099	0.447	0.026	-0.022	-0.036	13.494	2099.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.2	0.3	1	1200	0.003	0.4	2101	0.533	0.744	0.002	-0.008	156.644	2258.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.2	0.3	1	1200	0.003	0.4	2101	0.451	0.344	-0.008	-0.024	28.636	2130.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.2	0.3	1	1200	0.003	0.4	2095	0.354	0.009	-0.021	-0.043	8.832	2095.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.2	0.3	1	1200	0.005	0.4	2101	0.489	0.7	0.001	-0.009	139.317	2240.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.2	0.3	1	1200	0.005	0.4	2101	0.409	0.302	-0.009	-0.024	24.751	2126.0	2.0	Nourishment (annual) | Conservation
high	0.7	0.2	0.3	1	1200	0.005	0.4	2093	0.314	0.011	-0.022	-0.043	8.565	2093.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.2	0.3	5	400	0.003	0.4	2101	0.642	0.853	0.001	-0.009	148.944	2250.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.2	0.3	5	400	0.003	0.4	2101	0.574	0.466	-0.007	-0.023	35.782	2137.0	3.0	Nourishment (5 years) | Conservation
high	0.7	0.2	0.3	5	400	0.003	0.4	2101	0.496	0.017	-0.02	-0.046	0.787	2102.0	2.0	Nourishment (5 years) | Conservation
low	0.7	0.2	0.3	5	400	0.005	0.4	2101	0.604	0.815	0.001	-0.009	133.381	2234.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.2	0.3	5	400	0.005	0.4	2101	0.542	0.435	-0.008	-0.023	32.919	2134.0	3.0	Nourishment (5 years) | Conservation
high	0.7	0.2	0.3	5	400	0.005	0.4	2100	0.468	0.021	-0.021	-0.03	14.607	2100.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.2	0.3	5	800	0.003	0.4	2101	0.481	0.692	0.001	-0.008	137.854	2239.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.2	0.3	5	800	0.003	0.4	2101	0.389	0.281	-0.009	-0.024	22.412	2123.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.2	0.3	5	800	0.003	0.4	2092	0.279	0.01	-0.021	-0.04	8.404	2092.0	1.0	Nourishment (5 years) | Conservation
mean	0.7	0.2	0.3	5	800	0.005	0.4	2101	0.342	0.234	-0.01	-0.025	18.289	2119.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.2	0.3	5	800	0.005	0.4	2089	0.233	0.013	-0.022	-0.034	10.267	2089.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.2	0.3	5	1200	0.003	0.4	2101	0.35	0.561	-0.002	-0.008	117.574	2219.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.2	0.3	5	1200	0.003	0.4	2101	0.236	0.129	-0.013	-0.025	10.233	2111.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.2	0.3	5	1200	0.003	0.4	2080	0.097	0.024	-0.023	-0.028	14.646	2080.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.2	0.3	5	1200	0.005	0.4	2101	0.288	0.499	-0.003	-0.009	94.853	2196.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.2	0.3	5	1200	0.005	0.4	2101	0.175	0.068	-0.015	-0.026	5.184	2106.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.2	0.3	5	1200	0.005	0.4	2078	0.036	0.021	-0.025	-0.029	13.698	2078.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.2	0.3	10	400	0.003	0.4	2101	0.619	0.83	0.001	-0.01	130.241	2231.0	4.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.3	10	400	0.003	0.4	2101	0.549	0.442	-0.007	-0.024	31.786	2133.0	3.0	Nourishment (10 years) | Conservation
high	0.7	0.2	0.3	10	400	0.003	0.4	2100	0.468	0.018	-0.02	-0.033	13.283	2100.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.2	0.3	10	400	0.005	0.4	2101	0.582	0.793	0.0	-0.01	115.67	2217.0	4.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.3	10	400	0.005	0.4	2101	0.514	0.407	-0.008	-0.025	28.551	2130.0	3.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.5	10	400	0.003	0.4	2101	0.504	0.714	0.002	-0.013	90.731	2192.0	4.0	Nourishment (10 years) | Conservation
high	0.7	0.2	0.3	10	400	0.005	0.4	2099	0.437	0.019	-0.02	-0.033	12.636	2099.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.2	0.3	10	800	0.003	0.4	2101	0.448	0.659	0.0	-0.009	116.804	2218.0	4.0	Nourishment (10 years) | Conservation
low	0.7	0.2	0.3	10	1200	0.003	0.4	2101	0.311	0.522	-0.003	-0.009	93.673	2195.0	4.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.3	10	1200	0.003	0.4	2101	0.19	0.083	-0.014	-0.027	6.042	2107.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.2	0.3	10	1200	0.003	0.4	2078	0.042	0.022	-0.025	-0.028	13.876	2078.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.2	0.3	10	1200	0.005	0.4	2101	0.245	0.455	-0.004	-0.01	73.398	2174.0	4.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.3	10	1200	0.005	0.4	2101	0.124	0.017	-0.016	-0.028	1.191	2102.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.2	0.3	10	1200	0.005	0.4	2076	-0.024	0.013	-0.028	-0.027	12.804	2076.0	1.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.3	1	800	0.005	0.6	2101	0.607	0.5	-0.008	-0.023	39.354	2140.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.2	0.3	1	800	0.005	0.6	2101	0.548	0.069	-0.022	-0.046	3.283	2104.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.2	0.3	1	1200	0.003	0.6	2101	0.624	0.835	0.002	-0.009	158.592	2260.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.2	0.3	1	1200	0.003	0.6	2101	0.556	0.449	-0.007	-0.024	36.29	2137.0	3.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.1	0.5	10	1200	0.003	0.4	2090	-0.035	0.0	-0.02	-0.028	9.044	2090.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.5	10	1200	0.005	0.4	2101	0.032	0.243	-0.009	-0.016	25.825	2127.0	2.0	Nourishment (10 years) | Conservation
mean	0.7	0.1	0.5	10	1200	0.005	0.4	2086	-0.12	0.005	-0.022	-0.022	11.169	2086.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.2	0.3	1	1200	0.003	0.6	2100	0.477	0.026	-0.021	-0.033	15.085	2100.0	1.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.2	0.3	1	1200	0.005	0.6	2101	0.588	0.799	0.001	-0.009	144.498	2245.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.2	0.3	1	1200	0.005	0.6	2101	0.522	0.415	-0.008	-0.024	33.256	2134.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.2	0.3	1	1200	0.005	0.6	2099	0.447	0.026	-0.022	-0.036	13.494	2099.0	1.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.2	0.3	5	400	0.005	0.6	2101	0.562	0.083	-0.02	-0.042	3.809	2105.0	2.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.2	0.3	5	800	0.003	0.6	2101	0.584	0.794	0.002	-0.009	144.187	2245.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.2	0.3	5	800	0.003	0.6	2101	0.506	0.399	-0.007	-0.024	31.039	2132.0	3.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.1	0.5	1	800	0.003	0.6	2101	0.596	0.117	-0.023	-0.05	5.593	2107.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.1	0.5	1	800	0.005	0.6	2101	0.687	0.898	0.001	-0.01	151.108	2252.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.1	0.5	1	800	0.005	0.6	2101	0.635	0.527	-0.008	-0.025	41.503	2143.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.1	0.5	1	800	0.005	0.6	2101	0.575	0.097	-0.023	-0.05	4.616	2106.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.1	0.5	1	1200	0.003	0.6	2101	0.652	0.862	0.002	-0.009	161.196	2262.0	4.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.2	0.3	5	800	0.003	0.6	2099	0.419	0.004	-0.02	-0.032	12.302	2099.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.2	0.3	5	800	0.005	0.6	2101	0.543	0.754	0.001	-0.009	130.5	2232.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.2	0.3	5	800	0.005	0.6	2101	0.47	0.363	-0.008	-0.024	27.763	2129.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.2	0.3	5	800	0.005	0.6	2097	0.384	0.029	-0.021	-0.038	10.549	2097.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.2	0.3	5	1200	0.003	0.6	2101	0.481	0.692	0.001	-0.008	137.854	2239.0	4.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.2	0.3	10	400	0.003	0.6	2101	0.692	0.902	0.0	-0.01	133.564	2235.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.3	10	400	0.003	0.6	2101	0.63	0.523	-0.007	-0.023	37.173	2138.0	3.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.2	0.3	10	400	0.003	0.6	2101	0.562	0.083	-0.019	-0.044	3.603	2105.0	2.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.1	0.5	5	800	0.003	0.6	2101	0.502	0.713	0.002	-0.009	126.209	2227.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.1	0.5	5	800	0.003	0.6	2101	0.413	0.305	-0.008	-0.026	22.905	2124.0	2.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.2	0.3	10	1200	0.005	0.6	2101	0.396	0.606	-0.001	-0.01	98.025	2199.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.3	10	1200	0.005	0.6	2101	0.3	0.193	-0.011	-0.027	13.839	2115.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.2	0.3	10	1200	0.005	0.6	2086	0.184	0.007	-0.022	-0.027	14.624	2086.0	1.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.5	1	800	0.003	0.4	2101	0.619	0.512	-0.007	-0.024	40.754	2142.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.2	0.5	1	800	0.003	0.4	2101	0.552	0.074	-0.022	-0.048	3.503	2105.0	2.0	Nourishment (annual) | Conservation
low	0.7	0.2	0.5	1	800	0.005	0.4	2101	0.65	0.861	0.001	-0.009	150.606	2252.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.2	0.5	1	800	0.005	0.4	2101	0.59	0.483	-0.008	-0.024	38.154	2139.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.2	0.5	1	800	0.005	0.4	2101	0.527	0.048	-0.023	-0.049	2.288	2103.0	2.0	Nourishment (annual) | Conservation
low	0.7	0.2	0.5	1	1200	0.003	0.4	2101	0.605	0.816	0.002	-0.009	155.775	2257.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.1	0.5	5	1200	0.005	0.6	2101	0.208	0.101	-0.013	-0.028	7.345	2108.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.1	0.5	5	1200	0.005	0.6	2080	0.075	0.005	-0.023	-0.028	12.911	2080.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.1	0.5	10	400	0.003	0.6	2101	0.599	0.81	0.002	-0.013	97.919	2199.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.5	10	400	0.003	0.6	2101	0.525	0.417	-0.006	-0.03	25.24	2126.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.1	0.5	10	400	0.003	0.6	2099	0.438	0.024	-0.019	-0.035	12.601	2099.0	1.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.5	1	1200	0.003	0.4	2101	0.534	0.427	-0.007	-0.024	34.803	2136.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.2	0.5	1	1200	0.003	0.4	2100	0.452	0.002	-0.022	-0.034	13.39	2100.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.2	0.5	1	1200	0.005	0.4	2101	0.568	0.779	0.001	-0.009	145.132	2246.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.2	0.5	1	1200	0.005	0.4	2101	0.499	0.391	-0.008	-0.025	31.497	2132.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.2	0.5	1	1200	0.005	0.4	2098	0.42	0.022	-0.022	-0.04	11.714	2098.0	1.0	Nourishment (annual) | Conservation
high	0.7	0.1	0.5	10	800	0.005	0.6	2085	0.139	0.005	-0.022	-0.021	18.215	2085.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.1	0.5	10	1200	0.003	0.6	2101	0.276	0.487	-0.003	-0.013	64.248	2165.0	3.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.5	10	1200	0.003	0.6	2101	0.149	0.042	-0.015	-0.033	2.562	2104.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.1	0.5	10	1200	0.003	0.6	2077	-0.007	0.01	-0.026	-0.023	14.641	2077.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.1	0.5	10	1200	0.005	0.6	2101	0.207	0.417	-0.005	-0.015	48.545	2150.0	3.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.5	10	1200	0.005	0.6	2099	0.08	0.014	-0.016	-0.021	11.741	2099.0	1.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.1	0.5	10	1200	0.005	0.6	2075	-0.076	0.004	-0.028	-0.024	13.934	2075.0	1.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.5	5	800	0.003	0.4	2101	0.426	0.318	-0.008	-0.025	24.736	2126.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.2	0.5	5	800	0.003	0.4	2094	0.323	0.009	-0.02	-0.04	8.673	2094.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.2	0.5	5	800	0.005	0.4	2101	0.467	0.677	0.0	-0.009	118.413	2219.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.2	0.5	5	800	0.005	0.4	2101	0.382	0.275	-0.009	-0.025	20.806	2122.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.2	0.5	5	800	0.005	0.4	2092	0.281	0.023	-0.021	-0.041	8.855	2092.0	1.0	Nourishment (5 years) | Conservation
mean	0.7	0.2	0.3	10	800	0.003	0.4	2101	0.351	0.244	-0.01	-0.026	18.092	2119.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.2	0.3	10	800	0.003	0.4	2089	0.234	0.008	-0.021	-0.034	10.002	2089.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.2	0.3	10	800	0.005	0.4	2101	0.396	0.606	-0.001	-0.01	98.025	2199.0	4.0	Nourishment (10 years) | Conservation
low	0.7	0.2	0.0	1	400	0.003	0.4	2101	0.602	0.813	0.001	-0.008	153.254	2254.0	4.0	No nourishment | Conservation
mean	0.7	0.2	0.0	1	400	0.003	0.4	2101	0.53	0.422	-0.008	-0.022	34.218	2135.0	3.0	No nourishment | Conservation
