slr_select	z_init	c_flood	c_flood_nourishment	nourishment_frequency	rho_deposit	s_subsidence	fd	crit_year	growth_total	end_dist	slope_norm	slope_norm_10	est_time	est_crit_year	class	Policy Combined
mean	0.7	0.05	0.3	10	1200	0.003	0.4	2077	-0.302	0.005	-0.027	-0.027	11.373	2077.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.05	0.3	10	1200	0.005	0.4	2100	-0.222	0.002	-0.017	-0.021	7.43	2100.0	1.0	Nourishment (10 years) | Conservation
mean	0.7	0.05	0.3	10	1200	0.005	0.4	2073	-0.408	0.019	-0.03	-0.031	11.576	2073.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.05	0.3	1	800	0.003	0.6	2101	0.624	0.834	0.003	-0.009	159.445	2260.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.05	0.3	1	800	0.003	0.6	2101	0.555	0.448	-0.007	-0.025	36.332	2137.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.1	0.3	10	1200	0.003	0.4	2067	-0.278	0.005	-0.038			2067.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.05	0.3	1	800	0.003	0.6	2100	0.476	0.025	-0.022	-0.035	15.087	2100.0	1.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.05	0.3	1	800	0.005	0.6	2101	0.587	0.798	0.002	-0.01	145.367	2246.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.05	0.3	1	800	0.005	0.6	2101	0.521	0.414	-0.008	-0.025	33.277	2134.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.05	0.3	1	800	0.005	0.6	2099	0.446	0.025	-0.022	-0.038	13.482	2099.0	1.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.05	0.3	1	1200	0.003	0.6	2101	0.532	0.743	0.002	-0.008	158.035	2259.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.05	0.3	1	1200	0.003	0.6	2101	0.45	0.342	-0.008	-0.024	28.651	2130.0	3.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.05	0.0	1	400	0.003	0.6	2101	0.32	0.531	-0.003	-0.007	120.014	2221.0	4.0	No Nourishment | Marsh Restoration
mean	0.7	0.05	0.0	1	400	0.003	0.6	2101	0.201	0.094	-0.014	-0.024	7.677	2109.0	2.0	No Nourishment | Marsh Restoration
high	0.7	0.05	0.0	1	400	0.003	0.6	2079	0.055	0.01	-0.026	-0.031	12.654	2079.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.05	0.0	1	400	0.005	0.6	2101	0.255	0.465	-0.004	-0.008	95.889	2197.0	4.0	No Nourishment | Marsh Restoration
mean	0.7	0.05	0.0	1	400	0.005	0.6	2101	0.136	0.029	-0.016	-0.025	2.288	2103.0	2.0	No Nourishment | Marsh Restoration
high	0.7	0.05	0.0	1	400	0.005	0.6	2076	-0.01	0.018	-0.028	-0.03	12.304	2076.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.05	0.0	1	800	0.003	0.6	2101	0.051	0.262	-0.01	-0.011	42.977	2144.0	3.0	No Nourishment | Marsh Restoration
mean	0.7	0.05	0.0	1	800	0.003	0.6	2086	-0.111	0.0	-0.023	-0.027	9.29	2086.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.05	0.0	1	800	0.005	0.6	2101	-0.041	0.17	-0.012	-0.012	24.027	2125.0	2.0	No Nourishment | Marsh Restoration
mean	0.7	0.05	0.0	1	800	0.005	0.6	2080	-0.203	0.013	-0.025	-0.028	11.399	2080.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.05	0.0	1	1200	0.003	0.6	2101	-0.094	0.117	-0.014	-0.014	14.779	2116.0	2.0	No Nourishment | Marsh Restoration
mean	0.7	0.05	0.0	1	1200	0.003	0.6	2078	-0.277	0.001	-0.027	-0.03	10.358	2078.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.05	0.5	5	800	0.005	0.4	2101	0.183	0.394	-0.005	-0.012	59.882	2161.0	3.0	Nourishment (5 years) | Conservation
mean	0.7	0.05	0.5	5	800	0.005	0.4	2098	0.053	0.024	-0.017	-0.019	13.276	2098.0	1.0	Nourishment (5 years) | Conservation
