year	num_tides	season	high_water_height	size	jittered_height	jittered_tides
2044	27	summer	1.7	15	1.69097207916108	27.00141144960612
2044	17	spring	1.7	15	1.6801172498179393	17.00928356033034
2044	16	autumn	1.7	15	1.6810091836139327	16.018990609477356
2044	22	summer	2.1	15	2.113465932904882	22.017441728233063
2044	11	spring	1.5	15	1.4805567510712887	11.007151183811244
2044	8	spring	2.2	15	2.1815977243636153	7.999022780596186
2045	19	autumn	2.1	15	2.108114338386201	18.988966032354135
2045	4	autumn	1.2	15	1.1902868252024572	4.0185814118485395
2045	5	spring	1.2	15	1.1951683670764697	4.999435531509208
2045	25	spring	2.1	15	2.0996842213587206	24.988261274807392
2045	42	autumn	2	15	2.009882355140802	42.01660560339011
2045	16	spring	1.6	15	1.5883884189493505	16.01198370696219
2045	33	autumn	1.9	15	1.8935845262021145	33.00705173779181
2045	32	spring	1.9	15	1.91727742212913	31.989368759592903
2045	31	summer	1.9	15	1.9023082243602765	31.005739119137438
2045	1	spring	2.3	15	2.292552170086278	0.9827346295333097
2045	4	summer	2.3	15	2.310380756395035	3.99906744539882
2045	3	winter	2.3	80	2.290106785527065	3.0058357946771737
2045	26	winter	1.9	80	1.9173277879333823	26.004290547826585
2045	28	winter	1.7	80	1.7107577313887914	28.007278462345738
2045	32	summer	1.7	15	1.6897455759234499	31.98564775451454
2045	17	spring	1.7	15	1.7037830593956587	16.98457667178237
2045	12	autumn	1.6	15	1.58324514931472	11.995977497922453
2045	17	autumn	1.7	15	1.703541821403813	17.002466404123172
2045	3	autumn	1.3	15	1.3009346632286287	3.0018035069606497
2045	2	spring	1.3	15	1.2859139573366483	1.9855565592588549
2045	21	spring	1.8	15	1.7955485620807303	20.99262022955348
2045	35	summer	1.8	15	1.818213551256354	34.99115192393258
2045	35	winter	1.8	80	1.8125325352575146	35.01348525643353
2045	38	spring	2	15	1.9986057010510612	38.00541793005086
2045	18	summer	2	15	2.006648202849277	17.989410837590167
2045	23	winter	2	80	2.016786411875558	22.981618940498546
2045	18	winter	1.6	80	1.6117491739862686	17.99924933492487
2045	15	summer	1.6	15	1.592646791022661	15.014471116331318
2045	24	summer	2.1	15	2.0867519637675844	23.987443692250654
2045	19	winter	2.1	80	2.0824581893473355	19.01877289618883
2045	25	autumn	1.8	15	1.7934049591984063	25.015429770616407
2045	4	summer	1.4	15	1.3827923720697255	3.9898560194107673
2045	3	spring	1.4	15	1.380332367871142	2.9889209281160585
2045	5	autumn	1.4	15	1.4170024180845937	5.007215887147759
2045	10	summer	2.2	15	2.188804411899674	9.992604304527271
2045	5	winter	1.5	80	1.4980520761161387	5.018093730439356
2045	14	winter	2.2	80	2.197015411026366	13.981541726942313
2045	3	winter	1.4	80	1.4112050080780476	2.981188539815236
2045	9	spring	1.5	15	1.484964233295881	8.997280481770456
2045	9	autumn	1.5	15	1.4957706003057156	9.000754350030368
2045	8	spring	2.2	15	2.1897052755211623	8.015972614585147
2045	7	autumn	2.2	15	2.2136073946506465	6.990110614180378
2045	5	summer	1.5	15	1.4811923223214984	4.985139546237479
2046	22	autumn	2	15	2.01417599212495	21.99391837313507
2046	15	autumn	1.6	15	1.6041116664393251	14.988903569346405
2046	9	autumn	2.1	15	2.089265299818484	9.010717884064954
2046	22	spring	2	15	2.0082841899996406	21.996616277805437
2046	22	summer	2	15	1.9843566114830795	21.997481812011348
2046	23	winter	2	80	1.9876735833221226	23.00943126042108
2046	8	spring	2.1	15	2.105081368760631	8.011732158412912
2046	17	summer	2.1	15	2.1168981307919177	16.98720459492873
2046	7	autumn	1.4	15	1.3986693795602045	7.016530348935308
2046	2	autumn	1.2	15	1.1969521366501337	1.9961540713456005
2046	22	spring	1.6	15	1.5892676490767468	21.990466164269787
2046	6	spring	1.2	15	1.219255313247176	6.01651638353534
2046	35	autumn	1.9	15	1.9016003764369138	34.98065277412204
2046	36	spring	1.9	15	1.9011669105722233	36.01496014718309
2046	1	spring	1.1	15	1.0856763302624697	1.000363960157931
2046	19	summer	1.9	15	1.8980714183865997	19.004917431647634
2046	13	winter	1.9	80	1.8966172861918444	12.989085846029887
2046	16	winter	1.5	80	1.5019556251150121	16.007606295684777
2046	17	summer	1.5	15	1.5097206976819117	17.000099191531902
2046	12	spring	1.5	15	1.5022862063458216	11.994260235441685
2046	9	autumn	1.5	15	1.4836318826554298	8.980353266759586
2046	14	winter	2.1	80	2.1085447030726736	13.980539744928194
2046	27	summer	1.6	15	1.5992347813101597	26.987784347728688
2046	24	winter	1.6	80	1.6007882504139737	24.008562262554243
2046	27	autumn	1.7	15	1.7193475019838234	26.992147877166637
2046	39	winter	1.7	80	1.6839089576617254	38.983252197193906
2046	10	autumn	1.3	15	1.3071118335796605	9.993863530334401
2046	6	spring	1.3	15	1.308345632204971	6.009651197339436
2046	1	summer	1.3	15	1.306782587685675	1.001214520080378
2046	4	winter	1.3	80	1.3159082323082796	3.980959967484733
2046	22	spring	1.7	15	1.6956182047012824	21.98214776625708
2046	3	winter	2.2	80	2.1962374260160966	2.9851000928040388
2046	42	autumn	1.8	15	1.7821588170761855	42.01009604353322
2046	35	spring	1.8	15	1.8147326142940514	35.01183468686624
2046	40	summer	1.7	15	1.708532612447801	40.012580405775616
2046	33	winter	1.8	80	1.8110064186788404	33.008828308895126
2046	9	spring	1.4	15	1.3931736542098936	8.983805859988431
2046	11	summer	1.4	15	1.3845765910108956	11.002501902213647
2046	24	summer	1.8	15	1.816339701641818	24.000516955401892
2046	6	winter	1.4	80	1.3959024300651501	5.989678370795812
2047	35	spring	1.9	15	1.9151345463522749	34.99529489103642
2047	10	autumn	1.5	15	1.5191195576118846	10.00049812972584
